source	hidden_k	surface_k	comparison	hidden_rule	surface_family	hidden_test_auroc	surface_test_auroc	delta_auroc_hidden_minus_surface	delta_auroc_ci_low	delta_auroc_ci_high	delta_auroc_p_two_sided_zero	delta_auroc_holm_p	hidden_pair_rank_accuracy	surface_pair_rank_accuracy	delta_pair_rank_accuracy_hidden_minus_surface	delta_pair_rank_accuracy_ci_low	delta_pair_rank_accuracy_ci_high	delta_pair_rank_accuracy_p_two_sided_zero	delta_pair_rank_accuracy_holm_p	n_pairs	n_rows	n_rank_pairs	pool_ks	pool_positions	layer	left_dropped	left_dropped_initial	pairs_dropped_pair_complete	pairs_dropped_pair_complete_initial	right_dropped	right_dropped_initial
harmbench_standard	16	4	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7468403739612188	0.7614915166204986	-0.014651142659279803	-0.0673113962950138	0.03876763763850414	0.608		0.7368421052631579	0.7269736842105263	0.009868421052631526	-0.041297182349813846	0.06351063829787236	0.76		152	304	152	4,8,16	cot_4,cot_8,cot_16	28	0	0	0	0	0	0
wildjailbreak_vanilla_harmful	16	4	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7596000452364253	0.730405010743651	0.029195034492774274	0.016297710139018574	0.04381351099669539	0.0		0.7734026745913819	0.715948489351164	0.05745418524021795	0.0447246701374645	0.07089545987602612	0.0		2019	4038	2019	4,8,16	cot_4,cot_8,cot_16	28	0	0	0	0	0	0
pooled	16	4	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7589336085296721	0.7323279246700943	0.026605683859577733	0.014129359181930246	0.04082169254659375	0.0		0.7708429295255642	0.7167204053431598	0.054122524182404375	0.04015171362252626	0.06791350602815605	0.0		2171	4342	2171	4,8,16	cot_4,cot_8,cot_16	28	0		0		0	
harmbench_standard	16	8	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7468403739612188	0.7996234418282548	-0.052783067867036015	-0.09516047004847643	-0.010014499653739628	0.02		0.7368421052631579	0.7598684210526315	-0.023026315789473673	-0.06923188329471248	0.02781096813725481	0.448		152	304	152	4,8,16	cot_4,cot_8,cot_16	28	0	0	0	0	0	0
wildjailbreak_vanilla_harmful	16	8	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7596000452364253	0.7540763686042526	0.0055236766321726805	-0.005545065194176901	0.018496445113668818	0.376		0.7734026745913819	0.754581475978207	0.018821198613174883	0.004692076998186629	0.034390839298031876	0.016		2019	4038	2019	4,8,16	cot_4,cot_8,cot_16	28	0	0	0	0	0	0
pooled	16	8	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7589336085296721	0.7570153955632652	0.0019182129664068182	-0.009401025748524238	0.014044701406102504	0.796		0.7708429295255642	0.7549516351911562	0.015891294334408057	0.0016456661127166932	0.02931987048648328	0.04		2171	4342	2171	4,8,16	cot_4,cot_8,cot_16	28	0		0		0	
harmbench_standard	16	16	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7468403739612188	0.8293369113573407	-0.08249653739612184	-0.12357221693213298	-0.04311266447368428	0.0		0.7368421052631579	0.8157894736842105	-0.07894736842105265	-0.12821255529808298	-0.029164772727272734	0.008		152	304	152	4,8,16	cot_4,cot_8,cot_16	28	0	0	0	0	0	0
wildjailbreak_vanilla_harmful	16	16	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7596000452364253	0.8002706335380994	-0.04067058830167403	-0.05340794767686176	-0.02895430201103389	0.0		0.7734026745913819	0.8197127290737989	-0.046310054482416985	-0.06013148967385447	-0.03257782440198454	0.0		2019	4038	2019	4,8,16	cot_4,cot_8,cot_16	28	0	0	0	0	0	0
pooled	16	16	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7589336085296721	0.801760402237017	-0.04282679370734488	-0.054072009578971285	-0.03154387288916484	0.0	0.0	0.7708429295255642	0.8194380469829572	-0.04859511745739298	-0.06243717311839513	-0.03497915298647817	0.0	0.0	2171	4342	2171	4,8,16	cot_4,cot_8,cot_16	28	0		0		0	
harmbench_standard	16	32	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7468403739612188	0.7994286703601108	-0.052588296398891954	-0.08686753376038785	-0.016807695637119147	0.008		0.7368421052631579	0.8223684210526315	-0.08552631578947367	-0.13566012375735445	-0.03844504830917872	0.0		152	304	152	4,8,16	cot_4,cot_8,cot_16	28	0	0	0	0	0	0
