model	position	layer	train_n	val_n	test_n	val_auroc	val_recall	val_fpr	test_auroc	test_auprc	test_recall	test_fpr	threshold	reasoningshield_test_n	reasoningshield_test_auroc	reasoningshield_test_auprc	reasoningshield_test_recall	reasoningshield_test_fpr
linear	cot_12	20	4707	588	587	0.957304	0.753623	0.0366089	0.959736	0.739666	0.75	0.0404624	0.868124	337	0.812613	0.554276	0.56338	0.161654
linear	cot_12	21	4707	588	587	0.940912	0.710145	0.0481696	0.953474	0.715559	0.705882	0.0462428	0.847468	337	0.79048	0.519601	0.549296	0.218045
linear	cot_12	22	4707	588	587	0.939041	0.695652	0.0462428	0.94724	0.699836	0.691176	0.0462428	0.850868	337	0.786509	0.518866	0.549296	0.169173
linear	cot_12	24	4707	588	587	0.926531	0.637681	0.0481696	0.928851	0.63515	0.588235	0.0578035	0.856687	337	0.792492	0.523217	0.507042	0.169173
linear	cot_12	25	4707	588	587	0.927508	0.608696	0.0462428	0.927434	0.66319	0.617647	0.0520231	0.859319	337	0.779096	0.507888	0.464789	0.131579
linear	cot_12	28	4707	588	587	0.921784	0.594203	0.044316	0.923127	0.618901	0.544118	0.0385356	0.867096	337	0.786138	0.481311	0.338028	0.120301
linear	cot_12	32	4707	588	587	0.904806	0.550725	0.0481696	0.916015	0.593459	0.455882	0.044316	0.875544	337	0.751033	0.488432	0.352113	0.112782
linear	cot_16	7	4704	588	587	0.945827	0.695652	0.0462428	0.954862	0.770884	0.794118	0.061657	0.832958	337	0.859526	0.605853	0.746479	0.184211
linear	cot_16	8	4704	588	587	0.939376	0.73913	0.0462428	0.957214	0.778413	0.823529	0.0732177	0.819238	337	0.864768	0.598755	0.788732	0.206767
linear	cot_16	14	4704	588	587	0.95426	0.782609	0.0404624	0.945852	0.745232	0.764706	0.061657	0.827156	337	0.856878	0.647326	0.774648	0.218045
linear	cot_16	16	4704	588	587	0.950741	0.826087	0.0462428	0.937238	0.726481	0.779412	0.0963391	0.786048	337	0.832204	0.549915	0.746479	0.255639
linear	cot_16	17	4704	588	587	0.949876	0.811594	0.0481696	0.933328	0.753478	0.808824	0.0867052	0.793672	337	0.850683	0.563933	0.760563	0.229323
linear	cot_16	20	4704	588	587	0.932814	0.652174	0.0481696	0.923524	0.668455	0.705882	0.0597303	0.85	337	0.815366	0.551683	0.535211	0.161654
linear	cot_16	21	4704	588	587	0.932032	0.652174	0.0481696	0.920917	0.685145	0.705882	0.0597303	0.84	337	0.807106	0.546168	0.56338	0.18797
linear	cot_16	22	4704	588	587	0.932563	0.710145	0.0462428	0.903916	0.687683	0.661765	0.0597303	0.831985	337	0.814307	0.543546	0.619718	0.199248
linear	cot_16	24	4704	588	587	0.926503	0.594203	0.0481696	0.889238	0.627959	0.617647	0.0635838	0.84	337	0.766123	0.494694	0.535211	0.184211
linear	cot_16	25	4704	588	587	0.913658	0.623188	0.0462428	0.867392	0.58914	0.602941	0.0924855	0.826421	337	0.75961	0.491661	0.549296	0.203008
linear	cot_16	28	4704	588	587	0.901092	0.623188	0.0385356	0.872152	0.531377	0.588235	0.0751445	0.836253	337	0.754209	0.462975	0.450704	0.180451
linear	cot_16	32	4704	588	587	0.875178	0.492754	0.0481696	0.849399	0.408939	0.382353	0.0809249	0.846263	337	0.721963	0.412291	0.394366	0.161654
linear	cot_24	7	4703	588	587	0.920527	0.550725	0.0481696	0.940015	0.636773	0.647059	0.0597303	0.84	337	0.780049	0.511219	0.492958	0.184211
linear	cot_24	8	4703	588	587	0.913295	0.536232	0.0481696	0.940326	0.641003	0.573529	0.0558767	0.86	337	0.794716	0.518864	0.507042	0.12782
linear	cot_24	14	4703	588	587	0.953757	0.73913	0.0346821	0.943613	0.703963	0.647059	0.0481696	0.854141	337	0.828127	0.618373	0.591549	0.146617
linear	cot_24	16	4703	588	587	0.938818	0.681159	0.044316	0.907231	0.634478	0.691176	0.0751445	0.83	337	0.78349	0.58228	0.577465	0.176692
linear	cot_24	17	4703	588	587	0.932228	0.681159	0.0481696	0.918197	0.646173	0.705882	0.0828516	0.829674	337	0.773112	0.559395	0.492958	0.161654
linear	cot_24	20	4703	588	587	0.910447	0.521739	0.044316	0.906381	0.577145	0.602941	0.0578035	0.86	337	0.728741	0.393806	0.352113	0.154135
linear	cot_24	21	4703	588	587	0.90394	0.550725	0.0462428	0.904539	0.541927	0.529412	0.0558767	0.868835	337	0.733347	0.384689	0.323944	0.135338
linear	cot_24	22	4703	588	587	0.903661	0.565217	0.0481696	0.905956	0.558537	0.5	0.0385356	0.868197	337	0.742508	0.383805	0.309859	0.116541
linear	cot_24	24	4703	588	587	0.899668	0.478261	0.0481696	0.909753	0.571354	0.514706	0.044316	0.881824	337	0.715504	0.363036	0.239437	0.105263
linear	cot_24	25	4703	588	587	0.898104	0.463768	0.0481696	0.922929	0.605523	0.558824	0.0520231	0.873398	337	0.722334	0.363613	0.28169	0.120301
linear	cot_24	28	4703	588	587	0.919103	0.507246	0.044316	0.914003	0.579666	0.558824	0.0500963	0.88	337	0.695118	0.351142	0.253521	0.12406
