source	hidden_k	surface_k	comparison	hidden_rule	surface_family	hidden_test_auroc	surface_test_auroc	delta_auroc_hidden_minus_surface	delta_auroc_ci_low	delta_auroc_ci_high	delta_auroc_p_two_sided_zero	delta_auroc_holm_p	hidden_pair_rank_accuracy	surface_pair_rank_accuracy	delta_pair_rank_accuracy_hidden_minus_surface	delta_pair_rank_accuracy_ci_low	delta_pair_rank_accuracy_ci_high	delta_pair_rank_accuracy_p_two_sided_zero	delta_pair_rank_accuracy_holm_p	n_pairs	n_rows	n_rank_pairs	pool_ks	initial_left_dropped	initial_pairs_after	initial_pairs_before	initial_pairs_dropped_pair_complete	initial_right_dropped	initial_rows_after_pair_complete	pairs_dropped_pair_complete
strongreject_full	32	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7335753105084127	0.7177208096026274	0.01585450090578533	-0.010820713159300896	0.04205157111392039	0.252		0.6877256317689531	0.6895306859205776	-0.0018050541516245744	-0.03926923076923077	0.03824786324786321	1.0		277	554	277	4,8,16,32	0	277	277	0	0	554	0
reasoningshield	32	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7515838716863444	0.7034617955001113	0.0481220761862331	0.023023279126754306	0.07226698596569389	0.0		0.7328358208955223	0.6895522388059702	0.043283582089552186	0.005862497177692447	0.08316339403247032	0.036		335	670	335	4,8,16,32	0	335	335	0	0	670	0
pooled	32	8	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7420463283352556	0.7068862403349139	0.03516008800034176	0.020669767770942777	0.05090747015036954	0.0		0.7124183006535948	0.6895424836601307	0.022875816993464082	-0.006411120388694236	0.04883547008547011	0.128		612	1224	612	4,8,16,32							0
strongreject_full	32	16	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7335753105084127	0.7436757940283335	-0.010100483519920767	-0.03498367631534356	0.014434242594064806	0.38		0.6877256317689531	0.7021660649819494	-0.014440433212996373	-0.05900719628823035	0.02817320510378982	0.56		277	554	277	4,8,16,32	0	277	277	0	0	554	0
reasoningshield	32	16	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7515838716863444	0.740815326353308	0.010768545333036394	-0.011201603920695047	0.03362107373579855	0.364		0.7328358208955223	0.7104477611940299	0.02238805970149249	-0.014133107389686346	0.060609250554902704	0.328		335	670	335	4,8,16,32	0	335	335	0	0	670	0
pooled	32	16	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7420463283352556	0.7366490986372762	0.0053972296979794	-0.009081109295570055	0.021851237771797177	0.532		0.7124183006535948	0.7066993464052288	0.005718954248365993	-0.023687490910601856	0.03543796500413342	0.764		612	1224	612	4,8,16,32							0
strongreject_full	32	32	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7335753105084127	0.7531572156550979	-0.01958190514668512	-0.04462735732252472	0.004499765408124645	0.116		0.6877256317689531	0.7148014440433214	-0.027075812274368283	-0.07165246212121211	0.014367816091954033	0.236		277	554	277	4,8,16,32	0	277	277	0	0	554	0
reasoningshield	32	32	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7515838716863444	0.7628202272220984	-0.011236355535753972	-0.035047672087324594	0.013601024727110727	0.384		0.7328358208955223	0.7686567164179104	-0.035820895522388096	-0.0750042525685515	0.0023666703935598925	0.064		335	670	335	4,8,16,32	0	335	335	0	0	670	0
pooled	32	32	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7420463283352556	0.748527542825409	-0.006481214490153375	-0.021803579819727494	0.007621133965568854	0.372		0.7124183006535948	0.744281045751634	-0.031862745098039214	-0.06124951089083081	-0.0025894301575474996	0.04		612	1224	612	4,8,16,32							0
strongreject_full	32	64	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7335753105084127	0.7970454456593986	-0.06347013515098587	-0.09667645218887257	-0.034851066741388576	0.0		0.6877256317689531	0.8032490974729242	-0.1155234657039711	-0.15168539325842695	-0.07287629198966403	0.0		277	554	277	4,8,16,32	0	277	277	0	0	554	0
reasoningshield	32	64	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7515838716863444	0.7806861216306527	-0.02910224994430821	-0.059176542659835144	-0.005153374916462486	0.016		0.7328358208955223	0.7985074626865671	-0.06567164179104479	-0.10143638499794679	-0.027065115813363672	0.0		335	670	335	4,8,16,32	0	335	335	0	0	670	0
pooled	32	64	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7420463283352556	0.7835848391644239	-0.04153851082916826	-0.06046148783587508	-0.024835566715793088	0.0		0.7124183006535948	0.8006535947712419	-0.08823529411764708	-0.11862630208333336	-0.05967731569371939	0.0		612	1224	612	4,8,16,32							0
strongreject_full	64	4	pooled_hidden_minus_surface	zmean_cumulative_val_stats	char_tfidf	0.7655580028411683	0.657678322407434	0.1078796804337343	0.07078076737608986	0.1435974338255418	0.0		0.7454873646209387	0.6498194945848376	0.09566787003610111	0.05644457705755781	0.13921997610359416	0.0		277	554	277	4,8,16,32,64	0	277	277	0	0	554	0
