source	hidden_k	surface_k	comparison	hidden_rule	surface_family	hidden_test_auroc	surface_test_auroc	delta_auroc_hidden_minus_surface	delta_auroc_ci_low	delta_auroc_ci_high	delta_auroc_p_two_sided_zero	delta_auroc_holm_p	hidden_pair_rank_accuracy	surface_pair_rank_accuracy	delta_pair_rank_accuracy_hidden_minus_surface	delta_pair_rank_accuracy_ci_low	delta_pair_rank_accuracy_ci_high	delta_pair_rank_accuracy_p_two_sided_zero	delta_pair_rank_accuracy_holm_p	n_pairs	n_rows	n_rank_pairs	pool_ks	pool_positions	layer	left_dropped	left_dropped_initial	pairs_dropped_pair_complete	pairs_dropped_pair_complete_initial	right_dropped	right_dropped_initial
pooled	8	8	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6503254624289803	0.7068862403349139	-0.05656077790593361	-0.07672409650134558	-0.03443103480498956	0.0	0.0	0.6388888888888888	0.6895424836601307	-0.05065359477124187	-0.07633342707161607	-0.023678633757167805	0.0	0.0	612	1224	612	4,8	cot_4,cot_8	28	0		0		0	
strongreject_full	8	16	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6885141211276049	0.7436757940283335	-0.0551616729007286	-0.08811270836320037	-0.024658212670567847	0.0		0.6787003610108303	0.7021660649819494	-0.023465703971119134	-0.06485953282828283	0.011732026143790885	0.276		277	554	277	4,8	cot_4,cot_8	28	0	0	0	0	0	0
reasoningshield	8	16	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6359590109155714	0.740815326353308	-0.10485631543773666	-0.13489195811984855	-0.07232323457340165	0.0		0.6059701492537314	0.7104477611940299	-0.10447761194029848	-0.14420952593917713	-0.06363579940417075	0.0		335	670	335	4,8	cot_4,cot_8	28	0	0	0	0	0	0
pooled	8	16	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6503254624289803	0.7366490986372762	-0.08632363620829597	-0.10994178921568629	-0.06384473519800073	0.0		0.6388888888888888	0.7066993464052288	-0.06781045751633996	-0.09793913060809596	-0.03962288845455813	0.0		612	1224	612	4,8	cot_4,cot_8	28	0		0		0	
strongreject_full	8	32	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6885141211276049	0.7531572156550979	-0.06464309452749295	-0.09783637868341827	-0.027713771846368373	0.0		0.6787003610108303	0.7148014440433214	-0.036101083032491044	-0.07880691898285037	0.005896103896103942	0.136		277	554	277	4,8	cot_4,cot_8	28	0	0	0	0	0	0
reasoningshield	8	32	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6359590109155714	0.7628202272220984	-0.12686121630652702	-0.15933270216083756	-0.09488338159946536	0.0		0.6059701492537314	0.7686567164179104	-0.16268656716417906	-0.20818540273901473	-0.12062575385543209	0.0		335	670	335	4,8	cot_4,cot_8	28	0	0	0	0	0	0
pooled	8	32	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6503254624289803	0.748527542825409	-0.09820208039642875	-0.12277222435815284	-0.07726572178435644	0.0		0.6388888888888888	0.744281045751634	-0.10539215686274517	-0.1347684331172178	-0.07441380283151637	0.0		612	1224	612	4,8	cot_4,cot_8	28	0		0		0	
strongreject_full	8	64	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6885141211276049	0.7970454456593986	-0.1085313245317937	-0.14071798146724182	-0.07604474840021379	0.0		0.6787003610108303	0.8032490974729242	-0.12454873646209386	-0.1638194444444445	-0.08284826711749793	0.0		277	554	277	4,8	cot_4,cot_8	28	0	0	0	0	0	0
reasoningshield	8	64	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6359590109155714	0.7806861216306527	-0.14472711071508126	-0.17834027623078635	-0.11100167075072394	0.0		0.6059701492537314	0.7985074626865671	-0.19253731343283575	-0.23738691386340469	-0.15329250660072924	0.0		335	670	335	4,8	cot_4,cot_8	28	0	0	0	0	0	0
pooled	8	64	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6503254624289803	0.7835848391644239	-0.13325937673544364	-0.15600947418727834	-0.10964045612798498	0.0		0.6388888888888888	0.8006535947712419	-0.16176470588235303	-0.19023998811853504	-0.13433128349594617	0.0		612	1224	612	4,8	cot_4,cot_8	28	0		0		0	
strongreject_full	16	4	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7060759295703058	0.657678322407434	0.04839760716287189	0.007095100939670776	0.08913383466485943	0.028		0.6768953068592057	0.6498194945848376	0.02707581227436817	-0.011239465959662909	0.06161048689138571	0.184		277	554	277	4,8,16	cot_4,cot_8,cot_16	28	0	0	0	0	0	0
reasoningshield	16	4	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6820093562040543	0.6747828024058811	0.007226553798173274	-0.025224103363778137	0.04501548229004233	0.66		0.6835820895522388	0.6791044776119403	0.004477611940298498	-0.029769199346405272	0.03936180473689853	0.76		335	670	335	4,8,16	cot_4,cot_8,cot_16	28	0	0	0	0	0	0
pooled	16	4	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6887601990687342	0.6645374108248964	0.024222788243837834	-0.0018653349139220031	0.0500628764577726	0.072		0.6805555555555556	0.6658496732026143	0.014705882352941235	-0.011346792153080171	0.04005614973262036	0.288		612	1224	612	4,8,16	cot_4,cot_8,cot_16	28	0		0		0	
strongreject_full	16	8	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7060759295703058	0.7177208096026274	-0.011644880032321558	-0.04161822778871094	0.024046644684539088	0.548		0.6768953068592057	0.6895306859205776	-0.01263537906137191	-0.05495238095238101	0.031124453102545205	0.628		277	554	277	4,8,16	cot_4,cot_8,cot_16	28	0	0	0	0	0	0
reasoningshield	16	8	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6820093562040543	0.7034617955001113	-0.021452439296057002	-0.05210926709734909	0.007425261750946715	0.132		0.6835820895522388	0.6895522388059702	-0.005970149253731405	-0.04102504943968356	0.03214869281045751	0.78		335	670	335	4,8,16	cot_4,cot_8,cot_16	28	0	0	0	0	0	0
